	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	median_label	non_nan_count
2	fic_1824_7211.txt-3045-8	fic_1856_2470.txt-7252-13	attack	dwug_en			4.0	4.0						4.0	2
3	fic_1824_7211.txt-3045-8	mag_1828_553929.txt-364-34	attack	dwug_en	3.0		3.0							3.0	2
4	fic_1824_7211.txt-3045-8	mag_1854_555935.txt-131-30	attack	dwug_en	4.0		4.0							4.0	2
6	fic_1824_7212.txt-597-16	mag_1828_553929.txt-364-34	attack	dwug_en		3.0	3.0	2.0						3.0	3
27	fic_1827_9759.txt-3739-20	fic_1838_7086.txt-2732-33	attack	dwug_en			3.0	4.0						3.5	2
28	fic_1827_9759.txt-3739-20	fic_1982_780070.txt-3698-5	attack	dwug_en				2.0				3.0		2.5	2
32	fic_1831_7210.txt-1507-8	mag_1828_553929.txt-364-34	attack	dwug_en	4.0	3.0								3.5	2
36	fic_1833_7239.txt-1694-15	fic_1838_7086.txt-2732-33	attack	dwug_en	4.0			4.0						4.0	2
38	fic_1833_7239.txt-1694-15	news_1991_612479.txt-40-20	attack	dwug_en			3.0	3.0						3.0	2
41	fic_1833_7239.txt-1694-15	nf_1845_747928.txt-826-66	attack	dwug_en		2.0					2.0			2.0	2
43	fic_1834_2652.txt-2410-34	mag_1828_553929.txt-364-34	attack	dwug_en			3.0	2.0						2.5	2
45	fic_1834_2652.txt-5065-36	mag_1828_553929.txt-364-34	attack	dwug_en	4.0	3.0		2.0			2.0			2.5	4
50	fic_1835_7016.txt-2023-9	fic_1838_7086.txt-2732-33	attack	dwug_en	4.0	3.0	4.0	4.0						4.0	4
51	fic_1835_7016.txt-2023-9	mag_1846_555400.txt-243-7	attack	dwug_en	3.0			3.0						3.0	2
52	fic_1835_7016.txt-2023-9	news_1991_612479.txt-40-20	attack	dwug_en	3.0		3.0	3.0						3.0	3
53	fic_1835_7134.txt-2235-79	mag_1828_553929.txt-364-34	attack	dwug_en	3.0	2.0		2.0			2.0	4.0		2.0	5
54	fic_1835_7134.txt-2235-79	mag_1845_555245.txt-299-1	attack	dwug_en	4.0		3.0					3.0		3.0	3
55	fic_1835_7142.txt-807-41	mag_1828_553929.txt-364-34	attack	dwug_en	4.0	2.0	3.0							3.0	3
56	fic_1835_7142.txt-807-41	mag_1845_555245.txt-299-1	attack	dwug_en		4.0		3.0						3.5	2
57	fic_1835_7172.txt-6030-11	fic_1856_2470.txt-7252-13	attack	dwug_en	4.0		4.0							4.0	2
63	fic_1835_7309.txt-3267-10	fic_1845_7170.txt-4861-9	attack	dwug_en								3.0	3.0	3.0	2
65	fic_1835_7309.txt-3267-10	news_1991_612479.txt-40-20	attack	dwug_en	3.0	3.0								3.0	2
69	fic_1838_7085.txt-2157-17	fic_2009_36778.txt-461-18	attack	dwug_en	4.0		2.0	3.0						3.0	3
74	fic_1838_7086.txt-2732-33	fic_1858_1282.txt-1444-24	attack	dwug_en	4.0	2.0					2.0			2.0	3
77	fic_1838_7086.txt-2732-33	mag_1828_553929.txt-364-34	attack	dwug_en	3.0	3.0		2.0		2.0	3.0			3.0	5
79	fic_1838_7086.txt-2732-33	mag_1858_506134.txt-148-19	attack	dwug_en	4.0		4.0							4.0	2
82	fic_1838_7086.txt-2732-33	news_1967_726451.txt-39-2	attack	dwug_en	3.0				4.0					3.5	2
83	fic_1838_7086.txt-2732-33	news_1989_669714.txt-32-21	attack	dwug_en	4.0	4.0	4.0	4.0						4.0	4
85	fic_1838_7086.txt-2732-33	nf_1829_747740.txt-792-23	attack	dwug_en	4.0		4.0	4.0						4.0	3
87	fic_1838_7086.txt-2732-33	nf_1975_773861.txt-1436-17	attack	dwug_en		2.0	3.0	3.0						3.0	3
91	fic_1838_7250.txt-1095-10	fic_1839_7024.txt-2377-9	attack	dwug_en	4.0		4.0							4.0	2
95	fic_1839_7024.txt-2377-9	fic_1859_9037.txt-2260-41	attack	dwug_en						2.0	2.0	3.0		2.0	3
97	fic_1839_7024.txt-2377-9	mag_1828_553929.txt-364-34	attack	dwug_en	3.0			2.0			2.0			2.0	3
98	fic_1839_7024.txt-2377-9	mag_1962_492071.txt-8-21	attack	dwug_en			4.0	4.0						4.0	2
99	fic_1839_7024.txt-2377-9	mag_1970_315464.txt-8-1	attack	dwug_en			4.0	4.0						4.0	2
100	fic_1839_7024.txt-2377-9	mag_1980_296744.txt-5-30	attack	dwug_en	3.0	3.0	4.0							3.0	3
101	fic_1839_7024.txt-2377-9	mag_2005_379087.txt-0-11	attack	dwug_en	4.0		4.0							4.0	2
102	fic_1839_7024.txt-2377-9	news_1966_725841.txt-34-33	attack	dwug_en	3.0					3.0				3.0	2
104	fic_1839_7024.txt-2377-9	news_1998_626765.txt-4-8	attack	dwug_en				4.0		3.0				3.5	2
105	fic_1839_7024.txt-2377-9	nf_1845_748321.txt-2041-23	attack	dwug_en		4.0	3.0							3.5	2
106	fic_1839_7024.txt-2377-9	nf_1847_754437.txt-1509-47	attack	dwug_en	3.0		3.0	3.0						3.0	3
114	fic_1843_7166.txt-1590-9	mag_1845_555245.txt-299-1	attack	dwug_en			3.0	4.0						3.5	2
115	fic_1843_7166.txt-1590-9	news_1991_612479.txt-40-20	attack	dwug_en			3.0	3.0						3.0	2
119	fic_1844_3928.txt-3118-8	fic_1968_781997.txt-4233-2	attack	dwug_en				4.0		3.0				3.5	2
122	fic_1844_3928.txt-3118-8	mag_1828_553929.txt-364-34	attack	dwug_en	3.0			2.0						2.5	2
124	fic_1844_3928.txt-3118-8	mag_1850_589167.txt-126-1	attack	dwug_en	4.0		4.0	3.0						4.0	3
125	fic_1844_3928.txt-3118-8	mag_1986_432304.txt-168-36	attack	dwug_en	4.0		3.0	4.0						4.0	3
