lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
attack	fic_1824_7211.txt-3045-8	fic_1856_2470.txt-7252-13	, which should be the signal of an attack having been made there.	commenced the life of a pioneer, and that, in a night attack, his cabin had been burned, his wife killed, and his son carried away by the savages.	35:41	54:60	4.0
attack	fic_1824_7211.txt-3045-8	mag_1828_553929.txt-364-34	, which should be the signal of an attack having been made there.	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	35:41	176:182	3.0
attack	fic_1824_7211.txt-3045-8	mag_1854_555935.txt-131-30	, which should be the signal of an attack having been made there.	18* // The development of Comte's system, after the outlines of it had been completed in his own mind, was delayed, in 1826, by an attack of mental disease, from which, if it had been left to take its own course, he thinks he should have speedily recovered.	35:41	131:137	4.0
attack	fic_1824_7212.txt-597-16	mag_1828_553929.txt-364-34	Many of our men immediately fled; but the greater number rushed on to the intended attack. "	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	83:89	176:182	3.0
attack	fic_1833_7239.txt-1694-15	fic_1838_7086.txt-2732-33	cried his antagonist, following him and standing over him, ready to renew the attack if he stirred with an evil purpose.	being protected by the batteries of New-York, Governor's Island, and Red Hook; that, on the arrival of their fleet through the Sound, instead of making a direct attack on New-York, they should land at Kingsbridge, and take up a position across the island of New-York, cut off all communication with the mainland, and, blockading General Washington by land and water, compel him to capitulate on their own terms. "	78:84	161:167	4.0
attack	fic_1833_7239.txt-1694-15	news_1991_612479.txt-40-20	cried his antagonist, following him and standing over him, ready to renew the attack if he stirred with an evil purpose.	The AIDS virus insinuates itself into the genetic makeup of T cells, destroying them or preventing them from orchestrating attacks on disease organisms.	78:84	123:130	3.0
attack	fic_1833_7239.txt-1694-15	nf_1845_747928.txt-826-66	cried his antagonist, following him and standing over him, ready to renew the attack if he stirred with an evil purpose.	Such are some of the disadvantages of a light sandy soil; and, in thoroughly examining many of the fruit gardens of the middle states the last few seasons, we could not fail to be struck with the fact that in nine cases out of ten, where a variety of fruit was unusually liable to disease, to blight, or to the attacks of	78:84	311:318	2.0
attack	fic_1835_7016.txt-2023-9	fic_1838_7086.txt-2732-33	As the stranger fell to the earth under an attack so impetuous and unexpected, he uttered an exclamation in which Juan recognized the language of Mexico.	being protected by the batteries of New-York, Governor's Island, and Red Hook; that, on the arrival of their fleet through the Sound, instead of making a direct attack on New-York, they should land at Kingsbridge, and take up a position across the island of New-York, cut off all communication with the mainland, and, blockading General Washington by land and water, compel him to capitulate on their own terms. "	43:49	161:167	4.0
attack	fic_1835_7016.txt-2023-9	mag_1846_555400.txt-243-7	As the stranger fell to the earth under an attack so impetuous and unexpected, he uttered an exclamation in which Juan recognized the language of Mexico.	Ridicule is, of all modes of attack, that least readily forgiven, particularly when directed by an inferior.	43:49	29:35	3.0
attack	fic_1835_7016.txt-2023-9	news_1991_612479.txt-40-20	As the stranger fell to the earth under an attack so impetuous and unexpected, he uttered an exclamation in which Juan recognized the language of Mexico.	The AIDS virus insinuates itself into the genetic makeup of T cells, destroying them or preventing them from orchestrating attacks on disease organisms.	43:49	123:130	3.0
attack	fic_1835_7134.txt-2235-79	mag_1828_553929.txt-364-34	A day was appointed, but being unacquainted with the art of writing, or the use of numbers, the period was designated by a bundle of sticks, every stick representing a day; each of the confederated chiefs prepared a bundle corresponding in number with those of his associates, one of which was to be burned daily; and the committing of the last to the flames, was to be the signal for the attack. "	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	389:395	176:182	2.0
attack	fic_1835_7134.txt-2235-79	mag_1845_555245.txt-299-1	A day was appointed, but being unacquainted with the art of writing, or the use of numbers, the period was designated by a bundle of sticks, every stick representing a day; each of the confederated chiefs prepared a bundle corresponding in number with those of his associates, one of which was to be burned daily; and the committing of the last to the flames, was to be the signal for the attack. "	The attack of the Boston Teachers upon the Board of Education and its Secretary has failed, - signally and disgracefully failed.	389:395	4:10	3.0
attack	fic_1835_7142.txt-807-41	mag_1828_553929.txt-364-34	They were collected, when I came up to them, on a small knoll, or rocky hillock, on the very edge of the marsh, and were engaged in loud and wordy argument concerning the propriety of another attack upon the Frondeurs; which counsel was strenuously advocated by some, while others as violently demanded that they should wait the arrival of a reinforcement, which had been already summoned from Pont Mousson.	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	192:198	176:182	3.0
attack	fic_1835_7172.txt-6030-11	fic_1856_2470.txt-7252-13	Here they delayed a few minutes, as if expecting an attack; until finding that the object of their solicitude had safely crossed the field and plunged into the distant woods, they rode away at a rapid pace in the same direction.	commenced the life of a pioneer, and that, in a night attack, his cabin had been burned, his wife killed, and his son carried away by the savages.	52:58	54:60	4.0
attack	fic_1835_7309.txt-3267-10	fic_1845_7170.txt-4861-9	The colonel will therefore consider the order to stand the attack of the	A single instance of discipline sprang from a rude attack made by one of the larger boys, Consider Gisborne, on one whose helplessness appealed strongly to the teacher's sensibilities, Job Luce.	59:65	51:57	3.0
attack	fic_1835_7309.txt-3267-10	news_1991_612479.txt-40-20	The colonel will therefore consider the order to stand the attack of the	The AIDS virus insinuates itself into the genetic makeup of T cells, destroying them or preventing them from orchestrating attacks on disease organisms.	59:65	123:130	3.0
attack	fic_1838_7085.txt-2157-17	fic_2009_36778.txt-461-18	" With the troops near Montreal, endeavouring to defend it and the surrounding country against any attacks of the colonists.	I didn't mean it to come out that harshly, but damn it, I felt under attack here.	99:106	69:75	3.0
attack	fic_1838_7086.txt-2732-33	fic_1858_1282.txt-1444-24	being protected by the batteries of New-York, Governor's Island, and Red Hook; that, on the arrival of their fleet through the Sound, instead of making a direct attack on New-York, they should land at Kingsbridge, and take up a position across the island of New-York, cut off all communication with the mainland, and, blockading General Washington by land and water, compel him to capitulate on their own terms. "	Indeed such was the shattered condition of the little tenement, that you might easily have imagined it suffering from a forty years ' attack of chronic disease, and quite unfit for the habitation of so great a military hero.	161:167	134:140	2.0
attack	fic_1838_7086.txt-2732-33	mag_1828_553929.txt-364-34	being protected by the batteries of New-York, Governor's Island, and Red Hook; that, on the arrival of their fleet through the Sound, instead of making a direct attack on New-York, they should land at Kingsbridge, and take up a position across the island of New-York, cut off all communication with the mainland, and, blockading General Washington by land and water, compel him to capitulate on their own terms. "	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	161:167	176:182	3.0
attack	fic_1838_7086.txt-2732-33	mag_1858_506134.txt-148-19	being protected by the batteries of New-York, Governor's Island, and Red Hook; that, on the arrival of their fleet through the Sound, instead of making a direct attack on New-York, they should land at Kingsbridge, and take up a position across the island of New-York, cut off all communication with the mainland, and, blockading General Washington by land and water, compel him to capitulate on their own terms. "	It was during the Captain's absence at headquarters that some of the traitor Arnold's soldiers made an attack on the mansion.	161:167	103:109	4.0
attack	fic_1838_7086.txt-2732-33	news_1989_669714.txt-32-21	being protected by the batteries of New-York, Governor's Island, and Red Hook; that, on the arrival of their fleet through the Sound, instead of making a direct attack on New-York, they should land at Kingsbridge, and take up a position across the island of New-York, cut off all communication with the mainland, and, blockading General Washington by land and water, compel him to capitulate on their own terms. "	' Some US officials are also angered by what they suspect is Assad ' s quiet encouragement of the attempted cross-border attacks from southern Lebanon into Israel.	161:167	121:128	4.0
attack	fic_1838_7086.txt-2732-33	nf_1829_747740.txt-792-23	being protected by the batteries of New-York, Governor's Island, and Red Hook; that, on the arrival of their fleet through the Sound, instead of making a direct attack on New-York, they should land at Kingsbridge, and take up a position across the island of New-York, cut off all communication with the mainland, and, blockading General Washington by land and water, compel him to capitulate on their own terms. "	But how do we know, but that for the strength gained by the journey, my frame could not have stood this attack.	161:167	104:110	4.0
attack	fic_1838_7086.txt-2732-33	nf_1975_773861.txt-1436-17	being protected by the batteries of New-York, Governor's Island, and Red Hook; that, on the arrival of their fleet through the Sound, instead of making a direct attack on New-York, they should land at Kingsbridge, and take up a position across the island of New-York, cut off all communication with the mainland, and, blockading General Washington by land and water, compel him to capitulate on their own terms. "	There is a history of recurrent episodes of pneumonia in childhood the first often occurring after an attack of whooping cough or measles.	161:167	102:108	3.0
attack	fic_1838_7250.txt-1095-10	fic_1839_7024.txt-2377-9	He shifts his position continually, and never hazards an attack.	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	57:63	38:44	4.0
attack	fic_1839_7024.txt-2377-9	fic_1859_9037.txt-2260-41	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	Ferris had naturally a robust constitution, and it was slow in confessing the sapping and mining process that had been going on ever since he was born, so that he had had many of what he called " singular attacks " before he felt permanently the worse for them.	38:44	205:212	2.0
attack	fic_1839_7024.txt-2377-9	mag_1828_553929.txt-364-34	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	Abandoned by all but the Jesuits, whose alliance was even more fatal than the enmity of the other parties, M. de VilliAe at length became satisfied that he could not stand the attack of the press, and must either silence it or retire.	38:44	176:182	2.0
attack	fic_1839_7024.txt-2377-9	mag_1962_492071.txt-8-21	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	Develop an adequate passive defense in the form of shelters, civil-defense organizations, and means of rehabilitating the nation after attack.	38:44	135:141	4.0
attack	fic_1839_7024.txt-2377-9	mag_1970_315464.txt-8-1	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	The attack that really lent urgency to Lon Nol's requests for outside military aid (see THE NATION) was a show of Communist power and Cambodian impotence at Saang, a handsome French provincial town only 15 miles south of Phnom-Penh on the west bank of the Bassac River.	38:44	4:10	4.0
attack	fic_1839_7024.txt-2377-9	mag_1980_296744.txt-5-30	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	One was that Jordan's attractive blond companion, Martha Coleman, 36, a longtime civil rights worker in Fort Wayne, was in any way involved in the attack.	38:44	147:153	3.0
attack	fic_1839_7024.txt-2377-9	mag_2005_379087.txt-0-11	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	@@379087 For the next decade, whenever there is a terrorist attack anywhere in the world, there will be those blaming it on America: if only America had not been distracted from the war on terrorism by the war in Iraq, if only America had not stirred Muslim resentment and increased al-Qaeda recruitment by invading Iraq.	38:44	60:66	4.0
attack	fic_1839_7024.txt-2377-9	news_1966_725841.txt-34-33	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	They feel the war in Vietnam could be concluded honorably if only the parties concerned accepted U Thant's three points, beginning with the first which calls for the suspension of air attacks on North Vietnam.	38:44	184:191	3.0
attack	fic_1839_7024.txt-2377-9	nf_1847_754437.txt-1509-47	I thought I had just awoke, after the attack which was made upon me by the assassin, when I was on my way to Mr. Marisett's house.	The leaf-cutting ants are confined to tropical America; and we can easily understand that trees and vegetables introduced from foreign lands where these ants are unknown could not have acquired, excepting accidentally, and without any reference to the ants, any protection against their attacks, and now they are most eagerly sought by them.	38:44	287:294	3.0
attack	fic_1843_7166.txt-1590-9	news_1991_612479.txt-40-20	Upon meeting my friends, they commenced a simultaneous attack upon me for having, as they averred, left them in a most eccentric manner the day before.	The AIDS virus insinuates itself into the genetic makeup of T cells, destroying them or preventing them from orchestrating attacks on disease organisms.	55:61	123:130	3.0
attack	fic_1844_3928.txt-3118-8	mag_1850_589167.txt-126-1	yelled the populace, but they made no attack.	The attack here alluded to relates not to the public works, but to the whig policy of burrowing thirteen hundred thousand dollars, in violation of the constitution.	38:44	4:10	4.0
attack	fic_1844_3928.txt-3118-8	mag_1986_432304.txt-168-36	yelled the populace, but they made no attack.	The Pentagon's shopping list for hardware would allow the Army to buy 840 Ml tanks and 870 Bradley fighting vehicles, the infantry's controversial new troop carrier; the Navy to get four new attack submarines, one Trident-missile sub, two cruisers, three guided-missile destroyers, various other ships and 120 F/A-18 aircraft, and the Air Force to buy 48 F-15 fighter planes, 216 F-16 aircraft and 21 C-5 cargo planes.	38:44	191:197	4.0
attack	fic_1844_3928.txt-3118-8	mag_1990_342663.txt-0-16	yelled the populace, but they made no attack.	@@342663 When the clandestine leadership of the Palestinian uprising issued a call last week for increased attacks on Jews " using all the means of struggle available, " the response was swift.	38:44	107:114	4.0
