	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	median_label	non_nan_count
4	fic_1820_7562.txt-1590-3	mag_1821_553342.txt-352-17	bar	dwug_en	3.0	2.0					3.0			3.0	3
8	fic_1822_7275.txt-216-23	fic_1850_2310.txt-1321-9	afternoon	dwug_en	4.0		4.0	4.0						4.0	3
9	fic_1822_7275.txt-530-41	fic_1971_14051.txt-667-2	afternoon	dwug_en	4.0	3.0		4.0						4.0	3
10	fic_1824_7022.txt-122-23	fic_1835_7133.txt-535-26	bar	dwug_en	1.0	1.0								1.0	2
13	fic_1824_7022.txt-122-23	fic_1849_7333.txt-947-13	bar	dwug_en	4.0						4.0			4.0	2
19	fic_1824_7022.txt-122-23	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0		1.0							1.0	2
20	fic_1824_7022.txt-122-23	fic_2000_52518.txt-317-5	bar	dwug_en			1.0	1.0						1.0	2
21	fic_1824_7022.txt-122-23	mag_1821_553342.txt-352-17	bar	dwug_en		4.0		4.0						4.0	2
29	fic_1824_7022.txt-122-23	nf_1832_758144.txt-1047-14	bar	dwug_en	4.0						4.0			4.0	2
30	fic_1824_7022.txt-122-23	nf_1833_747716.txt-865-13	bar	dwug_en		3.0					3.0			3.0	2
32	fic_1824_7022.txt-122-23	nf_1856_755595.txt-1034-8	bar	dwug_en				1.0			1.0			1.0	2
33	fic_1824_7022.txt-122-23	nf_1859_747504.txt-1852-7	bar	dwug_en		1.0					4.0			2.5	2
34	fic_1824_7022.txt-122-23	nf_1997_746546.txt-5-2	bar	dwug_en	4.0	4.0								4.0	2
35	fic_1824_7211.txt-3045-8	fic_1856_2470.txt-7252-13	attack	dwug_en			4.0	4.0						4.0	2
36	fic_1824_7211.txt-3045-8	mag_1828_553929.txt-364-34	attack	dwug_en	3.0		3.0							3.0	2
37	fic_1824_7211.txt-3045-8	mag_1854_555935.txt-131-30	attack	dwug_en	4.0		4.0							4.0	2
39	fic_1824_7212.txt-597-16	mag_1828_553929.txt-364-34	attack	dwug_en		3.0	3.0	2.0						3.0	3
40	fic_1825_7041.txt-1647-2	fic_1843_7208.txt-10502-5	afternoon	dwug_en		4.0	4.0							4.0	2
41	fic_1825_7041.txt-1647-2	fic_1850_2310.txt-1321-9	afternoon	dwug_en	3.0					4.0				3.5	2
43	fic_1825_7041.txt-1647-2	fic_1853_7732.txt-4-29	afternoon	dwug_en		4.0		4.0						4.0	2
44	fic_1825_7041.txt-1647-2	fic_1859_1191.txt-2358-42	afternoon	dwug_en	4.0	4.0								4.0	2
45	fic_1825_7041.txt-1647-2	fic_1860_615.txt-1132-40	afternoon	dwug_en		4.0	4.0							4.0	2
46	fic_1825_7041.txt-1647-2	fic_1977_780095.txt-3981-5	afternoon	dwug_en		4.0	4.0							4.0	2
48	fic_1825_7041.txt-1647-2	fic_1988_10770.txt-925-3	afternoon	dwug_en	4.0					4.0				4.0	2
49	fic_1825_7041.txt-1647-2	fic_1993_25005.txt-782-34	afternoon	dwug_en	4.0		4.0							4.0	2
50	fic_1825_7041.txt-1647-2	fic_1996_54472.txt-133-9	afternoon	dwug_en		4.0	4.0							4.0	2
52	fic_1825_7041.txt-1647-2	mag_1979_431971.txt-179-14	afternoon	dwug_en	4.0		4.0							4.0	2
60	fic_1827_9759.txt-3739-20	fic_1838_7086.txt-2732-33	attack	dwug_en			3.0	4.0						3.5	2
61	fic_1827_9759.txt-3739-20	fic_1982_780070.txt-3698-5	attack	dwug_en				2.0				3.0		2.5	2
