id	pair1	pair2	pair3	pair4
0	{'lemma': 'afternoon', 'identifier1': 'fic_1822_7275.txt-530-41', 'identifier2': 'fic_1971_14051.txt-667-2', 'context1': 'Elvira had just got possession, by stealth, of a new novel; that species of reading being absolutely prohibited in Mrs. Wilson\'s house, she had crept up to the garret, and was promising herself a long afternoon of stolen pleasure. "', 'context2': 'On those afternoons by the sea, we knitted, Sheila and I, and talked about poetry and children.', 'indexes_target_token1': '201:210', 'indexes_target_token2': '9:19', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1825_7041.txt-1647-2', 'identifier2': 'fic_1843_7208.txt-10502-5', 'context1': "On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.", 'context2': 'He had caught, one afternoon, in company with a crew of political cronies, a small carful of striped-bass and Lafayette fish, in the East river, and was declared the " Hero of Kipp\'s bay. "', 'indexes_target_token1': '7:16', 'indexes_target_token2': '19:28', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}
3	{'lemma': 'afternoon', 'identifier1': 'fic_1825_7041.txt-1647-2', 'identifier2': 'fic_1859_1191.txt-2358-42', 'context1': "On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.", 'context2': "He was very anxious to see his mother; but Doctor R --, desirous of making as great a change in the child's appearance and manner as possible, kept him at his house all night, and until the afternoon of the next day.", 'indexes_target_token1': '7:16', 'indexes_target_token2': '190:199', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1825_7041.txt-1647-2', 'identifier2': 'fic_1860_615.txt-1132-40', 'context1': "On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.", 'context2': "Owing, it may be, to this moral estrangement, - - this chill remoteness of their position, - - there have come to us but a few vague whisperings of what passed in Miriam's interview that afternoon with the sinister personage who had dogged her footsteps ever since the visit to the catacomb.", 'indexes_target_token1': '7:16', 'indexes_target_token2': '187:196', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}
6	{'lemma': 'afternoon', 'identifier1': 'fic_1825_7041.txt-1647-2', 'identifier2': 'fic_1988_10770.txt-925-3', 'context1': "On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.", 'context2': "Rememberinghis exhaustion that afternoon, he thought he'd drop off to sleep quickly.", 'indexes_target_token1': '7:16', 'indexes_target_token2': '31:40', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1825_7041.txt-1647-2', 'identifier2': 'fic_1993_25005.txt-782-34', 'context1': "On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.", 'context2': 'Mrs Stark, to compensate for not having been any help to him in finding somewhere to live, offered to contribute homemade snacks and left with him a little early on a Friday afternoon to help with preparations.', 'indexes_target_token1': '7:16', 'indexes_target_token2': '174:183', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}
9	{'lemma': 'afternoon', 'identifier1': 'fic_1825_7041.txt-1647-2', 'identifier2': 'mag_1979_431971.txt-179-14', 'context1': "On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.", 'context2': "He and Joanne were going to play the lead roles in Picnic at that afternoon's matinee.", 'indexes_target_token1': '7:16', 'indexes_target_token2': '66:75', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1831_7210.txt-510-4', 'identifier2': 'fic_1846_7036.txt-2381-16', 'context1': "He had passed the afternoon in his favourite recreation, that of fowling in the woods, and was returning home with about twenty wild pigeons, as the trophies of his success, when, late in the evening, in the vicinity of his mother's residence, he overheard some voices in a thick wood through which he was passing.", 'context2': "By some accident, Big Elk became separated from his hunting companions, late in the afternoon of a winter's day.", 'indexes_target_token1': '18:27', 'indexes_target_token2': '84:93', 'judgment': '3.0', 'count_droppped_judments': None, 'count_all_judgments': None}
12	{'lemma': 'afternoon', 'identifier1': 'fic_1834_7252.txt-206-4', 'identifier2': 'mag_1845_587596.txt-153-9', 'context1': 'About two of the afternoon they reached the river, almost exhausted.', 'context2': 'If you walk or drive among them in the afternoon, they are panting like gourminds after a turtle dinner.', 'indexes_target_token1': '17:26', 'indexes_target_token2': '39:48', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1834_7252.txt-206-4', 'identifier2': 'nf_1849_762578.txt-1803-0', 'context1': 'About two of the afternoon they reached the river, almost exhausted.', 'context2': 'afternoon that the Indian bought me, he started with me to his residence, which was fifty or sixty miles distant.', 'indexes_target_token1': '17:26', 'indexes_target_token2': '0:9', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}
15	{'lemma': 'afternoon', 'identifier1': 'fic_1835_7272.txt-2343-15', 'identifier2': 'fic_1852_9832.txt-757-5', 'context1': 'You understood the intimation in the Italian stanza I gave you from the carriage this afternoon? "', 'context2': 'We were out walking one afternoon, and the two boys had been excursionizing to their heart\'s content, when Archie came up with, " O Miss Kate!', 'indexes_target_token1': '86:95', 'indexes_target_token2': '24:33', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1835_7353.txt-1190-8', 'identifier2': 'mag_1855_556005.txt-194-2', 'context1': 'At Terni, which we reached in the afternoon, we found a guide, and made exertions to reach the celebrated cascade in the vicinity, before sunset.', 'context2': "One Sabbath afternoon, in the winter of 1753, as he lay on a couch, in the full possession of those noble faculties he had borne so meekly, listening to one of Sherlock's Sermons, his wife beside and his children around him, the gentle and exalted spirit of", 'indexes_target_token1': '34:43', 'indexes_target_token2': '12:21', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}
18	{'lemma': 'afternoon', 'identifier1': 'fic_1839_8698.txt-603-9', 'identifier2': 'fic_1854_5388.txt-1142-35', 'context1': ', my son intends going a step further this afternoon, but I shall myself remain under your comfortable roof.', 'context2': 'In the evening, having supped, we went to the theatre, where I revenged myself upon the " heavy man, " and the " light comedian, " who had in the afternoon made merry at my expense for carrying the harp, by getting up a hiss for the former gentleman, who knew not one single word of his part, and by hitting the latter individual upon the nose with an apple, for which latter feat (as the actor was a great favorite,) I was hounded out of the theatre, and narrowly escaped being carried to the watch-house.', 'indexes_target_token1': '43:52', 'indexes_target_token2': '146:155', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1842_7206.txt-3926-5', 'identifier2': 'fic_1845_7170.txt-9891-50', 'context1': "He had caught, one afternoon, in company with a crew of political cronies, a small car-full of striped bass and Lafayette fish, in the East river, and was declared the Hero of Kipp's Bay.", 'context2': 'Reports unfavorable to the reputation of Mrs. Wiswall, who has taken a house in town, and of Bertha, and also of Rose, have reached here, and we are called a harboring place of unprincipled persons, a community of -- Deacon Ramsdill was here this afternoon; he has not been deprived of his good cheer. "', 'indexes_target_token1': '19:28', 'indexes_target_token2': '247:256', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}
21	{'lemma': 'afternoon', 'identifier1': 'fic_1844_7135.txt-185-2', 'identifier2': 'fic_1988_10770.txt-925-3', 'context1': 'But towards afternoon the pirate, having repaired damages, overhauled him for the eighth time, and getting within range began to open his fire.', 'context2': "Rememberinghis exhaustion that afternoon, he thought he'd drop off to sleep quickly.", 'indexes_target_token1': '12:21', 'indexes_target_token2': '31:40', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1844_7148.txt-178-16', 'identifier2': 'mag_1855_556005.txt-194-2', 'context1': "Thus did the time pass onward; ' till, on on a close and sultry afternoon, in the latter part of autumn, when the thunderclouds were mustering thick over the azure vault, and now and then a pale flash on the far horizon succeeded by a distant rumble, told of the coming hurricane, that three or four horsemen, whose dress and accoutrements proclaimed them at once to be Spaniards from the fortress, were seen to issue from the forest, and ride rapidly across the little plain toward Guarica's dwelling.", 'context2': "One Sabbath afternoon, in the winter of 1753, as he lay on a couch, in the full possession of those noble faculties he had borne so meekly, listening to one of Sherlock's Sermons, his wife beside and his children around him, the gentle and exalted spirit of", 'indexes_target_token1': '64:73', 'indexes_target_token2': '12:21', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}
24	{'lemma': 'afternoon', 'identifier1': 'fic_1845_7170.txt-10380-7', 'identifier2': 'fic_1971_14051.txt-667-2', 'context1': "We go to Church, forenoon and afternoon, and sometimes dine in the Village, at Frank's, or elsewhere.", 'context2': 'On those afternoons by the sea, we knitted, Sheila and I, and talked about poetry and children.', 'indexes_target_token1': '30:39', 'indexes_target_token2': '9:19', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1845_7170.txt-9891-50', 'identifier2': 'nf_1857_753133.txt-1759-5', 'context1': 'Reports unfavorable to the reputation of Mrs. Wiswall, who has taken a house in town, and of Bertha, and also of Rose, have reached here, and we are called a harboring place of unprincipled persons, a community of -- Deacon Ramsdill was here this afternoon; he has not been deprived of his good cheer. "', 'context2': 'One little incident in our afternoon travel I will mention, as it appeared to afford more pleasure to the rest of the passengers than it did to me.', 'indexes_target_token1': '247:256', 'indexes_target_token2': '27:36', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}
27	{'lemma': 'afternoon', 'identifier1': 'fic_1846_7036.txt-2381-16', 'identifier2': 'fic_1855_9098.txt-10134-2', 'context1': "By some accident, Big Elk became separated from his hunting companions, late in the afternoon of a winter's day.", 'context2': 'In the afternoon, as Walter was sitting in his room pondering over the events of the morning, he was startled by the abrupt entrance of Mr. Bell, who held in his hand a large envelope, bearing the broad seal of the government. "', 'indexes_target_token1': '84:93', 'indexes_target_token2': '7:16', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}	{'lemma': 'afternoon', 'identifier1': 'fic_1846_7036.txt-2381-16', 'identifier2': 'fic_1971_782005.txt-463-14', 'context1': "By some accident, Big Elk became separated from his hunting companions, late in the afternoon of a winter's day.", 'context2': 'I \'m in the flat on your left and generally free in the late afternoon after the day\'s work, the later the better. "', 'indexes_target_token1': '84:93', 'indexes_target_token2': '61:70', 'judgment': '4.0', 'count_droppped_judments': None, 'count_all_judgments': None}
