lemma	diff_per_threshold	threshold	mean_overall	mean_per_challenge	mean_per_threshold	median_overall	median_per_challenge	median_per_threshold	std_overall	std_per_challenge	std_per_threshold
arm	-0.06	0.5	-0.02	0.34	0.03	-0.03	-0.06	-0.06	0.44	0.46	0.46
bank	-0.06	0.5	-0.02	-0.36	0.03	-0.03	-0.39	-0.06	0.44	0.1	0.46
bar	-0.33	0.5	-0.02	-0.47	0.03	-0.03	-0.5	-0.06	0.44	0.15	0.46
order	-0.36	0.5	-0.02	-0.51	0.03	-0.03	-0.5	-0.06	0.44	0.08	0.46
part	-0.47	0.5	-0.02	-0.15	0.03	-0.03	0.12	-0.06	0.44	0.31	0.46
record	0.64	0.5	-0.02	0.44	0.03	-0.03	0.45	-0.06	0.44	0.22	0.46
tip	0.77	0.5	-0.02	0.42	0.03	-0.03	0.46	-0.06	0.44	0.23	0.46
twist	0.13	0.5	-0.02	0.11	0.03	-0.03	0.09	-0.06	0.44	0.02	0.46
arm	-0.06	0.55	-0.02	0.34	-0.04	-0.03	-0.06	-0.19	0.44	0.46	0.43
bank	-0.39	0.55	-0.02	-0.36	-0.04	-0.03	-0.39	-0.19	0.44	0.1	0.43
bar	-0.33	0.55	-0.02	-0.47	-0.04	-0.03	-0.5	-0.19	0.44	0.15	0.43
order	-0.36	0.55	-0.02	-0.51	-0.04	-0.03	-0.5	-0.19	0.44	0.08	0.43
part	-0.47	0.55	-0.02	-0.15	-0.04	-0.03	0.12	-0.19	0.44	0.31	0.43
record	0.64	0.55	-0.02	0.44	-0.04	-0.03	0.45	-0.19	0.44	0.22	0.43
tip	0.54	0.55	-0.02	0.42	-0.04	-0.03	0.46	-0.19	0.44	0.23	0.43
twist	0.13	0.55	-0.02	0.11	-0.04	-0.03	0.09	-0.19	0.44	0.02	0.43
arm	-0.06	0.6	-0.02	0.34	-0.06	-0.03	-0.06	-0.19	0.44	0.46	0.45
bank	-0.39	0.6	-0.02	-0.36	-0.06	-0.03	-0.39	-0.19	0.44	0.1	0.45
bar	-0.33	0.6	-0.02	-0.47	-0.06	-0.03	-0.5	-0.19	0.44	0.15	0.45
order	-0.5	0.6	-0.02	-0.51	-0.06	-0.03	-0.5	-0.19	0.44	0.08	0.45
part	-0.47	0.6	-0.02	-0.15	-0.06	-0.03	0.12	-0.19	0.44	0.31	0.45
record	0.64	0.6	-0.02	0.44	-0.06	-0.03	0.45	-0.19	0.44	0.22	0.45
tip	0.54	0.6	-0.02	0.42	-0.06	-0.03	0.46	-0.19	0.44	0.23	0.45
twist	0.13	0.6	-0.02	0.11	-0.06	-0.03	0.09	-0.19	0.44	0.02	0.45
arm	-0.06	0.65	-0.02	0.34	-0.06	-0.03	-0.06	-0.19	0.44	0.46	0.45
bank	-0.39	0.65	-0.02	-0.36	-0.06	-0.03	-0.39	-0.19	0.44	0.1	0.45
bar	-0.33	0.65	-0.02	-0.47	-0.06	-0.03	-0.5	-0.19	0.44	0.15	0.45
order	-0.5	0.65	-0.02	-0.51	-0.06	-0.03	-0.5	-0.19	0.44	0.08	0.45
part	-0.47	0.65	-0.02	-0.15	-0.06	-0.03	0.12	-0.19	0.44	0.31	0.45
record	0.64	0.65	-0.02	0.44	-0.06	-0.03	0.45	-0.19	0.44	0.22	0.45
tip	0.54	0.65	-0.02	0.42	-0.06	-0.03	0.46	-0.19	0.44	0.23	0.45
twist	0.13	0.65	-0.02	0.11	-0.06	-0.03	0.09	-0.19	0.44	0.02	0.45
arm	-0.06	0.7	-0.02	0.34	-0.06	-0.03	-0.06	-0.19	0.44	0.46	0.45
bank	-0.39	0.7	-0.02	-0.36	-0.06	-0.03	-0.39	-0.19	0.44	0.1	0.45
bar	-0.33	0.7	-0.02	-0.47	-0.06	-0.03	-0.5	-0.19	0.44	0.15	0.45
order	-0.5	0.7	-0.02	-0.51	-0.06	-0.03	-0.5	-0.19	0.44	0.08	0.45
part	-0.47	0.7	-0.02	-0.15	-0.06	-0.03	0.12	-0.19	0.44	0.31	0.45
record	0.64	0.7	-0.02	0.44	-0.06	-0.03	0.45	-0.19	0.44	0.22	0.45
tip	0.54	0.7	-0.02	0.42	-0.06	-0.03	0.46	-0.19	0.44	0.23	0.45
twist	0.13	0.7	-0.02	0.11	-0.06	-0.03	0.09	-0.19	0.44	0.02	0.45
arm	-0.06	0.75	-0.02	0.34	-0.04	-0.03	-0.06	0.02	0.44	0.46	0.39
bank	-0.39	0.75	-0.02	-0.36	-0.04	-0.03	-0.39	0.02	0.44	0.1	0.39
bar	-0.5	0.75	-0.02	-0.47	-0.04	-0.03	-0.5	0.02	0.44	0.15	0.39
order	-0.5	0.75	-0.02	-0.51	-0.04	-0.03	-0.5	0.02	0.44	0.08	0.39
part	0.12	0.75	-0.02	-0.15	-0.04	-0.03	0.12	0.02	0.44	0.31	0.39
record	0.45	0.75	-0.02	0.44	-0.04	-0.03	0.45	0.02	0.44	0.22	0.39
tip	0.46	0.75	-0.02	0.42	-0.04	-0.03	0.46	0.02	0.44	0.23	0.39
twist	0.09	0.75	-0.02	0.11	-0.04	-0.03	0.09	0.02	0.44	0.02	0.39
arm	0.89	0.8	-0.02	0.34	0.07	-0.03	-0.06	0.1	0.44	0.46	0.52
bank	-0.39	0.8	-0.02	-0.36	0.07	-0.03	-0.39	0.1	0.44	0.1	0.52
bar	-0.5	0.8	-0.02	-0.47	0.07	-0.03	-0.5	0.1	0.44	0.15	0.52
order	-0.57	0.8	-0.02	-0.51	0.07	-0.03	-0.5	0.1	0.44	0.08	0.52
part	0.12	0.8	-0.02	-0.15	0.07	-0.03	0.12	0.1	0.44	0.31	0.52
record	0.45	0.8	-0.02	0.44	0.07	-0.03	0.45	0.1	0.44	0.22	0.52
tip	0.46	0.8	-0.02	0.42	0.07	-0.03	0.46	0.1	0.44	0.23	0.52
twist	0.09	0.8	-0.02	0.11	0.07	-0.03	0.09	0.1	0.44	0.02	0.52
