lemma	diff_per_threshold	threshold	mean_overall	mean_per_challenge	mean_per_threshold	median_overall	median_per_challenge	median_per_threshold	std_overall	std_per_challenge	std_per_threshold
arm	-0.18	0.5	0.09	0.18	-0.02	0.1	0.18	-0.18	0.36	0.37	0.37
bank	-0.43	0.5	0.09	0.04	-0.02	0.1	0.14	-0.18	0.36	0.25	0.37
bar	-0.17	0.5	0.09	0.1	-0.02	0.1	0.17	-0.18	0.36	0.34	0.37
order	-0.2	0.5	0.09	0.34	-0.02	0.1	0.35	-0.18	0.36	0.33	0.37
part	-0.35	0.5	0.09	-0.45	-0.02	0.1	-0.6	-0.18	0.36	0.34	0.37
record	0.23	0.5	0.09	0.09	-0.02	0.1	0.09	-0.18	0.36	0.08	0.37
tip	0.65	0.5	0.09	0.38	-0.02	0.1	0.4	-0.18	0.36	0.25	0.37
twist	0.31	0.5	0.09	0.07	-0.02	0.1	0.0	-0.18	0.36	0.12	0.37
arm	-0.18	0.55	0.09	0.18	-0.07	0.1	0.18	-0.19	0.36	0.37	0.4
bank	-0.43	0.55	0.09	0.04	-0.07	0.1	0.14	-0.19	0.36	0.25	0.4
bar	-0.22	0.55	0.09	0.1	-0.07	0.1	0.17	-0.19	0.36	0.34	0.4
order	-0.2	0.55	0.09	0.34	-0.07	0.1	0.35	-0.19	0.36	0.33	0.4
part	-0.6	0.55	0.09	-0.45	-0.07	0.1	-0.6	-0.19	0.36	0.34	0.4
record	0.18	0.55	0.09	0.09	-0.07	0.1	0.09	-0.19	0.36	0.08	0.4
tip	0.65	0.55	0.09	0.38	-0.07	0.1	0.4	-0.19	0.36	0.25	0.4
twist	0.23	0.55	0.09	0.07	-0.07	0.1	0.0	-0.19	0.36	0.12	0.4
arm	-0.24	0.6	0.09	0.18	0.13	0.1	0.18	0.21	0.36	0.37	0.46
bank	0.29	0.6	0.09	0.04	0.13	0.1	0.14	0.21	0.36	0.25	0.46
