challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
3.0-2.0-1.0-4.0-2.0	0.5	0.1655	0.0	0.3716
3.0-2.0-1.0-4.0-2.0	0.55	0.1408	0.0	0.3478
3.0-2.0-1.0-4.0-2.0	0.6	0.1008	0.0	0.3011
3.0-2.0-1.0-4.0-2.0	0.65	0.0836	0.0	0.2767
3.0-2.0-1.0-4.0-2.0	0.7	0.0632	0.0	0.2433
3.0-2.0-1.0-4.0-2.0	0.75	0.044	0.0	0.2051
3.0-2.0-1.0-4.0-2.0	0.8	0.0242	0.0	0.1536
3.0-2.0-1.0-4.0-2.0	0.85	0.0132	0.0	0.114
3.0-2.0-1.0-4.0-2.0	0.9	0.0038	0.0	0.0614
3.0-2.0-1.0-4.0-2.0	0.95	0.0027	0.0	0.0522
3.0-2.0-1.0-4.0-2.0	1.0	0.0009	0.0	0.03
