challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
4.0-3.0-2.0-2.0-1.0	0.5	0.233	0.0	0.4227
4.0-3.0-2.0-2.0-1.0	0.55	0.1332	0.0	0.3398
4.0-3.0-2.0-2.0-1.0	0.6	0.1332	0.0	0.3398
4.0-3.0-2.0-2.0-1.0	0.65	0.1332	0.0	0.3398
4.0-3.0-2.0-2.0-1.0	0.7	0.0998	0.0	0.2997
4.0-3.0-2.0-2.0-1.0	0.75	0.0998	0.0	0.2997
4.0-3.0-2.0-2.0-1.0	0.8	0.0337	0.0	0.1804
4.0-3.0-2.0-2.0-1.0	0.85	0.0337	0.0	0.1804
4.0-3.0-2.0-2.0-1.0	0.9	0.0172	0.0	0.1299
4.0-3.0-2.0-2.0-1.0	0.95	0.0172	0.0	0.1299
4.0-3.0-2.0-2.0-1.0	1.0	0.0172	0.0	0.1299
