challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
2.0-3.0-1.0-1.0-4.0-1.0	0.5	0.1076	0.0	0.3099
2.0-3.0-1.0-1.0-4.0-1.0	0.55	0.0786	0.0	0.2691
2.0-3.0-1.0-1.0-4.0-1.0	0.6	0.0632	0.0	0.2434
2.0-3.0-1.0-1.0-4.0-1.0	0.65	0.0449	0.0	0.2071
2.0-3.0-1.0-1.0-4.0-1.0	0.7	0.0322	0.0	0.1766
2.0-3.0-1.0-1.0-4.0-1.0	0.75	0.0196	0.0	0.1388
2.0-3.0-1.0-1.0-4.0-1.0	0.8	0.0123	0.0	0.1103
2.0-3.0-1.0-1.0-4.0-1.0	0.85	0.0074	0.0	0.0856
2.0-3.0-1.0-1.0-4.0-1.0	0.9	0.0024	0.0	0.0493
2.0-3.0-1.0-1.0-4.0-1.0	0.95	0.0013	0.0	0.0363
2.0-3.0-1.0-1.0-4.0-1.0	1.0	0.0003	0.0	0.0184
