challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
4.0-3.0-2.0-2.0-2.0-1.0	0.5	0.1397	0.0	0.3467
4.0-3.0-2.0-2.0-2.0-1.0	0.55	0.0901	0.0	0.2863
4.0-3.0-2.0-2.0-2.0-1.0	0.6	0.0901	0.0	0.2863
4.0-3.0-2.0-2.0-2.0-1.0	0.65	0.0901	0.0	0.2863
4.0-3.0-2.0-2.0-2.0-1.0	0.7	0.0654	0.0	0.2472
4.0-3.0-2.0-2.0-2.0-1.0	0.75	0.0163	0.0	0.1266
4.0-3.0-2.0-2.0-2.0-1.0	0.8	0.0163	0.0	0.1266
4.0-3.0-2.0-2.0-2.0-1.0	0.85	0.0163	0.0	0.1266
4.0-3.0-2.0-2.0-2.0-1.0	0.9	0.0163	0.0	0.1266
4.0-3.0-2.0-2.0-2.0-1.0	0.95	0.0082	0.0	0.0901
4.0-3.0-2.0-2.0-2.0-1.0	1.0	0.0082	0.0	0.0901
