feedback_id	academic_degree	english_mother_tongue	language_skill	sentence_difficulty	similarity_difficulty	challenge_rating	challenge_feedback	challenge_count	general_feedback
269	yes	no	8	8	8	2	yes	2	
418	yes	no	0	9	8	5	No	1	Nice sentences:)
301	yes	no	8	9	9	8	I prefer no challenges.	0	
392	yes	no	8	10	9	1	No. I don't like Captchas. They are annoying and routinely used for purposes others than their stated one, i.e. identification - e.g. machine learning training.	2	
166	yes	yes	10	9	9	10	No	0	
249	yes	no	8	8	7	6		5	
221			0	5	5	1	No	2	
384	yes	yes	10	10	8	4	No. It's easier to spot objects than to decide between literal and figurative language and is obviously much easier for non-native speakers.	2	
391	no	no	8	8	4	4	No	3	
309	yes	no	7	7	8	0		0	
111			0	0	0	0		0	Test
283	yes	no	8	8	5	4	No	3	
73	yes	no	8	9	9	7	No, image is more convenient for me as you can easily spot patterns / objects and there is no need to read through sentences. Also images are more language-independent.	5	A short introduction on what a Captcha-challenge is would have been nice. But apart from this the study was great!
89	yes	no	9	10	10	2	No	2	
11	yes	no	8	8	7	8	No, as it takes significantly longer to solve and might be a problem for websites in languages I don't or barely speak (but otherwise could easily use using some translate feature)	3	The meaning of the words was very similar in some sentences making it redundant. I feel like I could easily attack a system like this with creating a small statistical model on a huge corpus of data.
193	yes	yes	10	8	7	4	no, it takes longer	1	
225	yes	no	7	4	6	2	Noooo	1	
61	yes	no	8	7	7	4		2	
286	yes	no	8	9	5	8	No (it may be more time consuming and may be difficult for many people)	2	
58	yes	no	8	10	9	10	I think it would be difficult for people with language, reading and communication disorders. It may also be complicated for people without high education. Image-Captcha are more accessible.	3	It would be nice if people could choose what kind of Captcha they prefer, to avoid accessibility issues.
211	yes	yes	9	10	8	4	No.	4	No.
9			0	9	8	8	No. Clicking on little squares is more fun.	3	
175			9	10	8	6	Yes	5	
155	yes	no	8	10	9	5	Not quite. In this semantic challenge it can be very easy to fail it by mistake (one wrong click?)	2	Selection of focal words for the challenge might be problematic. 1. Some speakers may be unfamiliar with some words or some senses. 2. How many words have enough senses and shades of meaning to be useful?   
353	yes	no	8	10	9	5	Being a text researcher, yes, of course. Others might not.	2	I hate captchas in general :)
237	yes	no	5	10	9	3	No	5	The manual ordering interface is annoying. Please consider developing alternative input methods
363	yes	yes	10	9	8	8	As a user I would be interested in a fast method. Captcha with images is sometimes slow.	2	
207			10	9	9	8	no	1	While I don't think Image-Captcha is good either, this feels overly limiting because it relies on native-like levels of language proficiency. The type that I like the most is the slide the puzzle piece into place in an image one. This is far more intuitive and more generally applicable than the visual acuity required for Image-Captcha or language proficiency required for sentence meaning challenges like this.
245			0	0	0	0		0	
364	yes	no	8	10	7	1	No	2	
377	yes	no	9	8	6	2	No	1	
408	yes	no	7	8	9	8	Depends on the difficulty. The sentences in this survey were easy to label, however, if they are more complicated and require re-reading multiple times, then I'd rather use an image captcha	3	
90	yes	yes	10	8	8	6	N/A	3	Have a great day!
192	yes	no	8	8	6	4	No, because Image-Captcha is much quicker to fulfill and semantic similarity depends highly on language proficiency and is very subjective	3	What to do with sentences that I would rate on the same level?
422	yes	yes	10	9	8	3	I think I would prefer an image Captcha, inasmuch as image Captchas are usually a little quicker to solve.	2	One part of the example provided which might underscore a fundamental weakness of the concept is the two sentences involving an arm of the sea: it's hard to see why speakers would rate one use of "arm" in the phrase "arm of the sea" as semantically closer to a literal, anatomical arm than the other, especially when there's nothing in the context which distinguishes these two arms of the sea from one another clearly (such as size, hypothetically, or a poetic attribution of animacy to the sea).  Good Luck! 
60	yes	no	9	10	9	8	Maybe	7	
174			9	10	8	6	Yes	5	
250	yes	no	8	7	6	3	No, because this kind of test is more time consuming	1	
182	yes	no	9	9	8	2	sure :)But yes, a little shorter would certainly be more agreeable.	0	I'm wondering if non-linguists would be a bit squeamish about the instructions to judge similarity in meaning. But maybe I underestimate non-linguists' eagerness to engage with semantics. I guess you'll find out!
305		no	9	9	7	5	I wasn't overly sure how to answer sometimes, so I think this challenge is too hard for a Captcha, which should be easy to solve without much linguistic knowledge required.	2	
72	yes	yes	10	9	7	4	Yes, because I'm a linguist :)	4	Good luck with your research!
197			8	4	3	5	No because it's highly irrational, everybody would sort them differently so the captcha challenge would never be "truly" right	5	
106	yes	no	8	7	8	2	no	2	
264	yes	yes	10	10	8	0		0	
304	yes	no	8	10	9	9		5	
235	yes	no	9	7	6	1	No	0	
158	no	no	7	8	5	3	No, I would prefer the Image-Captcha	3	The centered text requires much effort to read the page.
14	yes	no	8	9	6	6	no	1	
420	yes	no	0	10	6	6	NO	2	
227	yes	yes	110	19	8	7	Possibly	2	
219	yes	no	8	9	5	5	it seems like it took longer to complete than the image or math-based captcha	4	
267	no	no	7	6	8	4	No	1	
206	yes	yes	10	8	6	6	Not necessarily	2	
306	yes	no	7	3	4	8	No, because I could understand image captchas and solve them much faster than the proposed Semantic NLP catches. Because we humans see faster than we read. Compared to the typical scenarios in image captchas, which are rather trivial, like spotting the traffic light, I found the topic here quite abstract, making ordering difficult. Maybe only selecting matching sentences so the given reference sentence.	3	
380	yes	yes	10	7	8	6	This is preferable because it is at least not difficult to see the physical text.	2	
80	yes	no	5	5	3	7		4	
379	yes	yes	10	7	8	6	This is preferable because it is at least not difficult to see the physical text.	2	
255	yes	no	8	7	5	6	No, language users differ.	3	
288	yes	no	8	9	7	6		2	
162	yes	no	9	9	7	3	I already have to solve many more captchas than I'd like -- but at least many of the image ones tend to be fairly quick to solve. Comparing words in several long-ish sentences seems like it would take even more time and energy.	1	
246	yes	no	6	5	77	2	No	1	
413	yes	yes	10	9	3	1	I like the idea of this type of challenge, but it would work better with related words rather than related senses of words, or at least with more easily-separable word senses. People have a notoriously high level of disagreement re: relatedness of word senses. The example I had was especially challenging, as some instances used "part" as part of a verb ("take part") and others used it as a more typical noun.	5	I'm a computational linguist. I'm definitely not the average user :)
79			0	8	7	4	No, I would neither prefer nor dislike it	2	
12	yes	no	7	9	4	3	No. I think this challenge is more time-consuming	1	
406	yes	yes	10	9	5	7	Yes, if the sentences took less time to read.	3	The sentences were pretty long which made it harder to read and make choices. 
13	yes	no	8	8	5	8		0	
107	yes	no	8	7	7	2	No	2	
173			0	8	8	5	no. it takes too long to read.	-1	
297			0	10	10	3	no	1	I don't think it an improvement over ordinary Capchas. And a test of English would be off-putting and unfair for loads of people word-wide
370	yes	no	8	7	7	1		0	
372	yes	no	7	10	10	10	No	2	
213	yes	no	7	9	3	3	It depends on the language. If the semantic captcha is not in my native language, I would prefer the image captcha. If the sentence is in my native language, I would have no preference (maybe the time it takes me to solve the corresponding captcha).	1	It wasn't really possible to order the sentences that didn't have a similar meaning (I'm not sure if this was intentional).
401	yes	no	9	10	5	1	No	3	
281	yes	no	8	6	6	10	No	3	
16	yes	no	8	6	3	1	No	1	
189	yes	yes	10	10	10	5	Captcha challenges that rely on images are difficult enough; it is often a problem. Substituting  sentence understanding would make it more difficult, especially for non-native speakers.	1	See above.
452	yes	no	8	7	6	5	no, I prefer the Image-Captcha	2	
200	yes	no	9	9	9	1	The sentences were quite difficult to understand, I am not sure they were the best examples for this task. However, I think it could be useful in the future with more suitable examples.	3	The first screen was a bit too crowded and full of typos. As a senior in the field, I'd advise you proofread everything :)
244	yes	no	6	3	7	1	No	10	
275	yes	no	9	0	4	2	Not really. I think we are in a phase where Captchas are only being (mis)used for cheap data labeling.	1	Asking for an absolute ordering may be too much, when there are multiple sentences that are not related at all. This will probably introduce noise in your study.
361	yes	yes	10	9	9	8	Only if this study revealed inter-rater agreement that was EXTREMELY high.  Otherwise, this is probably too subjective for such a use and would result in frustrated users not being able to buy Taylor Swift tickets and the like.	6	Very interesting study; best of luck to you!
18	yes	no	8	9	7	5	no	3	
81			0	8	10	2		2	
176	yes	no	9	9	5	5		0	I like image captcha because it's a simple matter of clicking. This one is arguably harder for the human (and perhaps not even for the machine). The other "issue" is that in the example I had ("record") there were clearly two different senses (thing to put music on; thing to keep track of other things) and ranking them doesn't really really make sense -- it's more of a "put it in the correct box" type of deal
239			0	0	0	0		0	test
287	yes	no	10	10	10	8	No because captcha takes less time to complete	1	
394	yes	no	8	7	8	5	no	0	
187	no	no	7	5	5	0		2	
85	yes	no	7	2	3	2	no	3	
224	no	no	7	7	6	4	No	6	Nice idea
404	yes	no	8	8	8	9	No, it can be ableist under certain contexts and disadvantage speakers of dialects	1	N/A, very interesting
253	yes	no	3	6	6	3	No	2	
185	yes	yes	12	-1	1	-1	NOT REALLY	0	
273	yes	no	8	8	8	2		5	
262			0	0	0	1	No	2	2 questions. Native language and English language.
272	yes	no	8	9	9	2	No	1	It excludes too many people - those who do not speak the language good enough.
167	yes	no	5	3	2	3		4	
84	yes	no	8	8	5	4	I might prefer this one, but drag-and-drop is not convenient for me, clicking would be easier. Then what happens if our language profeciency is not good enough?	1	Good luck with the thesis and the study!
201	no	no	8	3	2	1	no	0	lot of reading bad ... want more pictures
403	yes	no	7	6	7	4	Msybe	3	
4			0	8	7	6	as a language lover, I wouldn't mind this sort of challenge, but image-captcha is likely much quicker to solve, and more accessible to users who are not English C2 speakers	3	
70	yes	no	8	8	7	5		3	
104	yes	no	5	8	3	4	No.	1	I found them very challenging. I would pull out my hair if I have to deal with such types of CAPTCHA! However, very interesting and nice research! I wish you good luck! 
228	yes	no	8	9	7	5	Probably not. The similarity scale is not particularly well defined, so what is a 2 for one person might be a 3 for another even if they understand the sentences the same way. It might work if the response time and cursor movement are taken into account, though.	3	
63	yes	no	9	7	10	5	It's better than the counting challenges with a timer, for sure, but would be challenging for non-native speakers or people with some cognitive disability.	2	I don't know if this was on purpose, but while almost all the sentences were easy to understand, the one about poetry sales records being tuned was very confusing.
17	yes	no	9	8	8	4		3	
414	yes	no	7	4	3	1	No, images are still easier to get the gist of it and they are faster to solve as the visual apparatus functions faster then the reading one	1	:D
362	yes	no	9	7	3	3	Definitely not.	5	With 1-2 items, the context seemed very restricted (maybe too restricted to even judge the exact meaning of that instance). I would have liked to get more information on what exactly you were looking for in terms of similarity, assuming there's one ideal solution. Is 'record' inside a compound like 'record label' the same as a specific record, or less similar to playing a record than a specific record (if so, on what grounds)?
279	yes	no	9	6	7	2	While it would be more fun and I personally might prefer it because of that, I think anyone who has less than near-native proficiency in English would not be able to complete the challenge and thus others might not prefer it.	2	I think the idea is fun, but the idea of testing if one's a human by testing one's semantic understanding in English is something I find quite problematic. It assumes that every user would be proficient enough to answer the test seeing as it requires near-native proficiency to understand the examples, which is not the case for a lot of people, and particularly disparaging towards non-native speakers coming from a minority background. It is also implied that there is (only) one correct answer to this test, which is never really the case when it comes to  semantics, as people might have different conceptualisations of meaning based on their previous knowledge and how knowledge is mapped and linked in the brain. It might be good to read up on cognitive linguistics/semantics for this study.
383	yes	no	7	5	3	7	I would prefer Image-Captcha because images in general are more straightforward than texts.	2	
153	yes	no	8	3	4	2	No. Image Captcha is likely faster.	1	
